ref,date,vendor,category,desc,amount,pct,her_share,include,in_window,note,file
C-074,2025-06-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Jun2025.pdf
C-031,2025-07-09,Entergy (Electric),Utilities,Electric amount due (current period),520.18,50,260.09,True,True,,Entergy\Entergy_Jul_2025.pdf
C-096,2025-07-11,Atmos (Gas),Utilities,from email (current charges),49.96,50,24.98,True,True,email-sourced,(from Gmail sweep 2026-07-18)
C-075,2025-07-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Jul2025.pdf
C-052,2025-08-04,BR Water,Utilities,Water/Sewer amount due,310.72,50,155.36,True,True,,BR Water Company\BR Water August 2025.pdf
C-032,2025-08-08,Entergy (Electric),Utilities,Electric amount due (current period),471.37,50,235.69,True,True,,Entergy\Entergy_Aug_2025.pdf
C-097,2025-08-12,Atmos (Gas),Utilities,Gas current charges,49.88,50,24.94,True,True,,Atmos\Atmos_Aug_2025.pdf
C-076,2025-08-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Aug2025.pdf
C-033,2025-09-09,Entergy (Electric),Utilities,Electric amount due (current period),472.84,50,236.42,True,True,,Entergy\Entergy_Sep_2025.pdf
C-098,2025-09-11,Atmos (Gas),Utilities,Gas current charges,46.71,50,23.36,True,True,,Atmos\Atmos_Oct_2025.pdf
C-077,2025-09-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Sep2025.pdf
C-053,2025-10-02,BR Water,Utilities,Water/Sewer amount due,298.38,50,149.19,True,True,,BR Water Company\BR Water October.pdf
C-034,2025-10-08,Entergy (Electric),Utilities,Electric amount due (current period),483.86,50,241.93,True,True,,Entergy\Entergy_Oct_2025.pdf
C-099,2025-10-10,Atmos (Gas),Utilities,Gas current charges,49.46,50,24.73,True,True,,Atmos\Atmos_Nov_2025.pdf
C-078,2025-10-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Oct2025.pdf
C-054,2025-10-31,BR Water,Utilities,Irrigation amount due,84.21,50,42.11,True,True,,BR Water Company\BR Water October(2) 2025.pdf
C-035,2025-11-07,Entergy (Electric),Utilities,Electric amount due (current period),452.79,50,226.4,True,True,,Entergy\Entergy_Nov_2025.pdf
C-055,2025-11-10,BR Water,Utilities,Water/Sewer amount due,148.77,50,74.39,True,True,,BR Water Company\BR Water Nov 2025.pdf
C-100,2025-11-11,Atmos (Gas),Utilities,Gas current charges,58.86,50,29.43,True,True,,Atmos\Atmos_Dec_2025.pdf
C-079,2025-11-22,AT&T Internet,Utilities,Internet monthly charge,120.42,50,60.21,True,True,,Internet\ATTBill_4580_Nov2025.pdf
C-056,2025-12-08,BR Water,Utilities,Water/Sewer amount due,165.09,50,82.55,True,True,,BR Water Company\BR Water Dec 2025.pdf
C-036,2025-12-08,Entergy (Electric),Utilities,Electric amount due (current period),439.27,50,219.64,True,True,,Entergy\Entergy_Dec_2025.pdf
C-101,2025-12-10,Atmos (Gas),Utilities,Gas current charges,62.86,50,31.43,True,True,,Atmos\Atmos_Jan_2026.pdf
C-080,2025-12-22,AT&T Internet,Utilities,Internet monthly charge,125.42,50,62.71,True,True,,Internet\ATTBill_4580_Dec2025.pdf
C-057,2026-01-07,BR Water,Utilities,Water/Sewer amount due,320.67,50,160.34,True,True,,BR Water Company\BR Water Jan 2025.pdf
C-058,2026-01-08,BR Water,Utilities,Irrigation amount due,28.63,50,14.32,True,True,,BR Water Company\BR Water Jan(2) 2025.pdf
C-037,2026-01-09,Entergy (Electric),Utilities,Electric amount due (current period),492.4,50,246.2,True,True,,Entergy\Entergy_Jan_2026.pdf
C-102,2026-01-13,Atmos (Gas),Utilities,Gas current charges,150.77,50,75.39,True,True,,Atmos\Atmos_Feb_2026.pdf
C-081,2026-01-22,AT&T Internet,Utilities,Internet monthly charge,125.42,50,62.71,True,True,,Internet\ATTBill_4580_Jan2026.pdf
C-059,2026-02-05,BR Water,Utilities,Irrigation amount due,60.98,50,30.49,True,True,,BR Water Company\BR Water Feb 2026.pdf
C-038,2026-02-09,Entergy (Electric),Utilities,Electric amount due (current period),486.33,50,243.17,True,True,,Entergy\Entergy_Feb_2026.pdf
C-103,2026-02-10,Atmos (Gas),Utilities,Gas current charges,120.82,50,60.41,True,True,,Atmos\Atmos_March_2026.pdf
C-060,2026-02-12,BR Water,Utilities,Water/Sewer amount due,156.82,50,78.41,True,True,,BR Water Company\BR Water Feb (2) 2026.pdf
C-082,2026-02-22,AT&T Internet,Utilities,Internet monthly charge,125.42,50,62.71,True,True,,Internet\ATTBill_4580_Feb2026.pdf
C-061,2026-03-06,BR Water,Utilities,Water/Sewer amount due,339.44,50,169.72,True,True,,BR Water Company\BR Water March 2026.pdf
C-039,2026-03-10,Entergy (Electric),Utilities,Electric amount due (current period),489.12,50,244.56,True,True,,Entergy\Entergy_Mar_2026.pdf
C-104,2026-03-11,Atmos (Gas),Utilities,Gas current charges,392.11,50,196.06,True,True,,Atmos\Atmos_April_2026.pdf
C-062,2026-03-16,BR Water,Utilities,Irrigation amount due,113.26,50,56.63,True,True,,BR Water Company\BR Water March (2) 2026.pdf
C-083,2026-03-31,AT&T Internet,Utilities,from email,125.42,50,62.71,True,True,email-sourced,(from Gmail sweep 2026-07-18)
C-040,2026-04-08,Entergy (Electric),Utilities,Electric amount due (current period),472.14,50,236.07,True,True,,Entergy\Entergy_Apr_2026.pdf
C-105,2026-04-13,Atmos (Gas),Utilities,Gas current charges (bill 4/13/26; May showed credit balance),51.74,50,25.87,True,True,email-sourced,(from Gmail sweep 2026-07-18)
C-084,2026-04-22,AT&T Internet,Utilities,Internet monthly charge,125.42,50,62.71,True,True,,Internet\ATTBill_4580_Apr2026.pdf
,2026-05-07,Entergy (Electric),Utilities,Electric current charges (bill 5/7/26; total due incl. arrears excluded),347.0,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-05-12,Atmos (Gas),Utilities,from email (current charges),41.88,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-05-12,BR Water,Utilities,Irrigation Apr+May 2026 (autopay 5/12/26),62.36,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-05-31,AT&T Internet,Utilities,from email,160.42,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-06-06,Entergy (Electric),Utilities,Electric current charges (bill 6/6/26),435.76,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-06-09,BR Water,Utilities,Irrigation Jun 2026 (autopay),18.94,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-06-10,Atmos (Gas),Utilities,from email (current charges),57.46,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-06-27,AT&T Internet,Utilities,Internet monthly charge (bill 6/27/26),125.42,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-07-08,Entergy (Electric),Utilities,Electric current charges (bill 7/8/26; arrears excluded),519.07,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-07-08,BR Water,Utilities,Water/Sewer Jul 2026 current (payment 7/8/26; separate $400 arrears payment excluded as already-billed),90.57,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-07-09,BR Water,Utilities,Irrigation Jul 2026 (autopay),12.39,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
,2026-07-13,Atmos (Gas),Utilities,from email (current charges),50.83,50,0.0,True,False,email-sourced | after utilities end 2026-04,(from Gmail sweep 2026-07-18)
